symbol,date,open,high,low,close,volume
GXH.NZ,2023-09-07,1.29,1.3,1.29,1.3,4402
GXH.NZ,2023-09-08,1.3,1.3,1.3,1.3,808
GXH.NZ,2023-09-11,1.29,1.3,1.29,1.3,8689
GXH.NZ,2023-09-12,1.3,1.3,1.29,1.3,1966
GXH.NZ,2023-09-13,1.29,1.3,1.29,1.3,11175
GXH.NZ,2023-09-14,1.3,1.3,1.29,1.3,995
GXH.NZ,2023-09-15,1.3,1.3,1.26,1.26,51639
GXH.NZ,2023-09-18,1.27,1.3,1.27,1.29,9870
GXH.NZ,2023-09-19,1.29,1.29,1.29,1.29,21841
GXH.NZ,2023-09-20,1.27,1.27,1.26,1.27,2328
GXH.NZ,2023-09-21,1.28,1.28,1.26,1.26,8966
GXH.NZ,2023-09-22,1.24,1.24,1.24,1.24,815
GXH.NZ,2023-09-25,1.24,1.24,1.24,1.24,16295
GXH.NZ,2023-09-26,1.25,1.27,1.25,1.27,2595
GXH.NZ,2023-09-27,1.27,1.27,1.23,1.23,17649
GXH.NZ,2023-09-28,1.24,1.24,1.24,1.24,2656
GXH.NZ,2023-09-29,1.24,1.24,1.23,1.23,36298
GXH.NZ,2023-10-02,1.22,1.24,1.22,1.23,5136
GXH.NZ,2023-10-03,1.21,1.23,1.21,1.21,14204
GXH.NZ,2023-10-04,1.21,1.21,1.21,1.21,963
GXH.NZ,2023-10-05,1.23,1.24,1.23,1.23,8559
GXH.NZ,2023-10-06,1.23,1.24,1.23,1.24,1694
GXH.NZ,2023-10-08,1.22,1.22,1.21,1.22,2132
GXH.NZ,2023-10-09,1.22,1.22,1.21,1.22,2164
GXH.NZ,2023-10-10,1.24,1.24,1.22,1.24,42314
GXH.NZ,2023-10-11,1.24,1.24,1.22,1.22,3359
GXH.NZ,2023-10-12,1.2,1.2,1.2,1.2,6724
GXH.NZ,2023-10-13,1.21,1.24,1.21,1.23,10191
GXH.NZ,2023-10-16,1.24,1.24,1.24,1.24,6742
GXH.NZ,2023-10-17,1.24,1.24,1.23,1.24,14142
GXH.NZ,2023-10-18,1.24,1.24,1.24,1.24,13696
GXH.NZ,2023-10-19,1.24,1.24,1.23,1.24,4722
GXH.NZ,2023-10-20,1.23,1.24,1.23,1.24,28093
GXH.NZ,2023-10-24,1.24,1.24,1.23,1.24,4178
GXH.NZ,2023-10-25,1.24,1.24,1.23,1.24,10270
GXH.NZ,2023-10-26,1.24,1.24,1.23,1.24,30028
GXH.NZ,2023-10-27,1.24,1.24,1.23,1.23,1805
GXH.NZ,2023-10-30,1.23,1.23,1.22,1.22,21181
GXH.NZ,2023-10-31,1.23,1.23,1.22,1.22,2614
GXH.NZ,2023-11-01,1.22,1.22,1.21,1.22,4677
GXH.NZ,2023-11-02,1.22,1.22,1.22,1.22,7555
GXH.NZ,2023-11-03,1.22,1.22,1.2,1.21,25698
GXH.NZ,2023-11-06,1.21,1.21,1.17,1.17,58866
GXH.NZ,2023-11-07,1.17,1.17,1.16,1.17,2541
GXH.NZ,2023-11-08,1.17,1.17,1.17,1.17,3389
GXH.NZ,2023-11-09,1.17,1.17,1.16,1.16,1893
GXH.NZ,2023-11-10,1.17,1.2,1.17,1.2,4355
GXH.NZ,2023-11-12,1.21,1.21,1.2,1.21,1882
GXH.NZ,2023-11-13,1.21,1.21,1.2,1.21,1882
GXH.NZ,2023-11-14,1.21,1.21,1.2,1.2,28175
